activity_year,loan_type,action_taken,loan_purpose,business_or_commercial_purpose,construction_method,occupancy_type,state_code,county_code,loan_amount,income,loan_term,property_value,total_units
2022,1,1,1,2,1,1,MI,26099,415000,119000,360,435000,1
2022,1,1,1,2,1,1,TX,48113,405000,97000,360,425000,1
2022,1,1,1,2,1,1,NY,36047,375000,152000,360,505000,1
2022,1,1,1,2,1,1,TX,48201,265000,138000,360,335000,1
2022,1,1,1,2,1,1,MO,29183,225000,89000,360,255000,1
2022,1,1,1,2,1,1,MO,29095,175000,52000,360,185000,1
2022,1,1,1,2,1,2,FL,12101,225000,75000,360,255000,1
2022,1,1,1,2,1,1,MO,29189,145000,93000,360,155000,1
2022,1,1,1,2,1,1,MO,29510,185000,63000,360,205000,1
2022,1,1,1,2,1,1,VA,51107,475000,0,360,515000,1
2022,1,1,1,2,1,1,TX,48113,815000,0,360,1105000,1
2022,1,1,1,2,1,1,CA,6059,645000,93000,360,755000,1
2022,1,1,1,2,1,1,NC,37183,465000,96000,360,495000,1
2022,1,1,1,2,1,1,TX,48121,505000,320000,360,635000,1
2022,1,1,1,2,1,1,OH,39113,395000,153000,360,545000,1
2022,1,1,1,2,1,1,NY,36005,535000,117000,360,625000,1
2022,1,1,1,2,1,1,DC,11001,435000,138000,360,545000,1
2022,1,1,1,2,1,1,VA,51107,635000,166000,360,705000,1
2022,1,1,1,2,1,1,CA,6059,365000,79000,360,455000,1
2022,1,1,1,2,1,1,MD,24027,395000,91000,360,505000,1
2022,1,1,1,2,1,1,CA,6075,425000,234000,360,615000,1
2022,1,1,1,2,1,1,CA,6001,975000,155000,360,1255000,1
2022,1,1,1,2,1,1,NY,36085,645000,221000,360,715000,1
2022,1,1,1,2,1,1,CA,6065,365000,96000,360,575000,1
2022,1,1,1,2,1,1,FL,12099,385000,166000,360,735000,1
2022,1,1,1,2,1,1,TN,47125,325000,109000,360,415000,1
2022,1,1,1,2,1,1,MN,27025,425000,196000,360,495000,1
2022,1,1,1,2,1,1,CA,6037,415000,136000,360,515000,1
2022,1,1,1,2,1,1,GA,13117,625000,156000,360,725000,1
2022,1,1,1,2,1,1,NV,32003,395000,129000,360,495000,1
2022,1,1,1,2,1,1,NY,36001,525000,122000,360,565000,1
2022,1,1,1,2,1,1,TN,47149,275000,64000,360,545000,1
2022,1,1,1,2,1,1,WY,56007,245000,72000,360,255000,1
2022,1,1,1,2,1,1,SC,45045,635000,240000,360,675000,1
2022,1,1,1,2,1,1,TX,48085,545000,158000,360,595000,1
2022,1,1,1,2,1,1,ND,38011,175000,71000,360,185000,1
2022,1,1,1,2,1,1,NY,36001,135000,158000,360,175000,3
2022,1,1,1,2,1,1,MO,29510,195000,131000,360,245000,1
2022,1,1,1,2,1,1,TN,47165,315000,62000,360,395000,1
2022,1,1,1,2,1,1,MS,28127,205000,135000,360,255000,1
2022,1,1,1,2,1,1,TX,48397,195000,98000,360,405000,1
2022,1,1,1,2,1,1,AZ,4013,5000,0,360,305000,1
2022,1,1,1,2,1,1,OR,41067,5000,0,180,575000,1
2022,1,1,1,2,1,1,CA,6013,515000,0,360,705000,1
2022,1,1,1,2,1,1,FL,12071,245000,114000,360,265000,1
2022,1,1,1,2,1,1,CA,6071,325000,0,360,635000,1
2022,1,1,1,2,1,1,OR,41017,305000,94000,360,315000,1
2022,1,1,1,2,1,1,CA,6001,665000,0,360,755000,1
2022,1,1,1,2,1,1,VA,51041,535000,0,360,645000,1
2022,1,1,1,2,1,1,CA,6037,605000,0,360,655000,1
2022,1,1,1,2,1,1,CA,6013,815000,162000,360,905000,1
2022,1,1,1,2,1,1,IL,17097,215000,0,360,235000,1
2022,1,1,1,2,1,1,CA,6079,505000,0,360,565000,1
2022,1,1,1,2,1,1,CA,6077,465000,148000,360,495000,1
2022,1,1,1,2,1,1,CA,6097,625000,0,360,805000,1
2022,1,1,1,2,1,1,CA,6065,725000,0,360,915000,1
2022,1,1,1,2,1,1,CA,6037,735000,0,360,795000,1
2022,1,1,1,2,1,1,CA,6037,475000,0,360,515000,1
2022,1,1,1,2,1,1,CA,6095,535000,0,360,595000,1
2022,1,1,1,2,1,1,CA,6059,715000,125000,360,855000,1
2022,1,1,1,2,1,1,NJ,34025,635000,0,360,955000,1
2022,1,1,1,2,1,1,NY,36047,625000,187000,360,775000,1
2022,1,1,1,2,1,1,ID,16001,765000,0,360,975000,1
2022,1,1,1,2,1,1,CA,6059,795000,0,360,1075000,1
2022,1,1,1,2,1,1,TX,48113,465000,0,360,605000,1
2022,1,1,1,2,1,1,CA,6045,555000,0,360,725000,1
2022,1,1,1,2,1,1,CA,6073,505000,0,360,655000,1
2022,1,1,1,2,1,1,CO,8041,505000,178000,360,535000,1
2022,1,1,1,2,1,1,CA,6081,725000,0,360,815000,1
2022,1,1,1,2,1,1,CA,6083,865000,0,360,1105000,1
2022,1,1,1,2,1,2,NJ,34029,955000,462000,360,1205000,1
2022,1,1,1,2,1,1,CA,6041,945000,0,360,1205000,1
2022,1,1,1,2,1,1,CA,6001,965000,0,360,1235000,1
2022,1,1,1,2,1,1,CA,6077,635000,115000,360,805000,1
2022,1,1,1,2,1,1,CA,6061,705000,0,360,895000,1
2022,1,1,1,2,1,1,OR,41043,635000,0,360,805000,1
2022,1,1,1,2,1,1,CA,6067,635000,0,360,805000,1
2022,1,1,1,2,1,1,TN,47187,805000,0,360,1025000,1
2022,1,1,1,2,1,1,CA,6065,545000,0,360,695000,1
2022,1,1,1,2,1,1,CA,6013,705000,0,360,1205000,1
2022,1,1,1,2,1,2,PA,42127,695000,419000,360,905000,1
2022,1,1,1,2,1,1,GA,13089,945000,0,360,1205000,1
2022,1,1,1,2,1,1,CA,6085,885000,0,360,1125000,1
2022,1,1,1,2,1,1,ID,16019,695000,0,360,875000,1
2022,1,1,1,2,1,1,TN,47079,235000,152000,360,295000,1
2022,1,1,1,2,1,1,OR,41033,305000,54000,360,325000,1
2022,1,1,1,2,1,1,CT,9009,175000,57000,360,205000,1
2022,1,1,1,2,1,1,CA,6083,715000,0,360,915000,1
2022,1,1,1,2,1,1,CA,6097,895000,0,360,1205000,1
2022,1,1,1,2,1,2,HI,15001,2395000,500000,360,3005000,1
2022,1,1,1,2,1,1,NY,36047,415000,103000,360,465000,1
2022,1,1,1,2,1,1,CA,6001,905000,0,360,1155000,1
2022,1,1,1,2,1,1,NJ,34023,575000,282000,360,725000,1
2022,1,1,1,2,1,1,CA,6067,715000,0,360,905000,1
2022,1,1,1,2,1,1,TN,47037,245000,42000,360,305000,1
2022,1,1,1,2,1,1,TX,48053,655000,0,360,825000,1
2022,1,1,1,2,1,1,IL,17097,625000,247000,360,725000,1
2022,1,1,1,2,1,1,NY,36027,315000,85000,360,345000,1
2022,1,1,1,2,1,1,CO,8041,415000,80000,360,525000,1
2022,1,1,1,2,1,1,NJ,34017,695000,162000,360,825000,2
2022,1,1,1,2,1,1,NY,36027,305000,70000,360,375000,1
2022,1,1,1,2,1,1,NY,36081,325000,106000,360,405000,1
2022,1,1,1,2,1,1,NJ,34039,325000,59000,360,345000,1
2022,1,1,1,2,1,1,CA,6113,655000,176000,360,775000,1
2022,1,1,1,2,1,1,TX,48085,555000,242000,360,695000,1
2022,1,1,1,2,1,1,TX,48453,365000,118000,360,605000,1
2022,1,1,1,2,1,1,PA,42101,185000,50000,360,235000,1
2022,1,1,1,2,1,1,WA,53033,585000,126000,360,615000,1
2022,1,1,1,2,1,1,TN,47037,425000,90000,360,585000,1
2022,1,1,1,2,1,1,FL,12117,285000,84000,360,295000,1
2022,1,1,1,2,1,1,NJ,34025,595000,175000,360,705000,2
2022,1,1,1,2,1,1,TX,48201,385000,102000,360,535000,1
2022,1,1,1,2,1,1,NY,36061,645000,155000,360,685000,1
2022,1,1,1,2,1,1,CA,6085,375000,100000,360,495000,1
2022,1,1,1,2,1,1,CA,6001,1995000,457000,360,2555000,1
2022,1,1,1,2,1,1,CA,6013,505000,90000,360,525000,1
2022,1,1,1,2,1,1,NY,36053,265000,250000,360,285000,1
2022,1,1,1,2,1,1,CA,6059,635000,134000,360,845000,1
2022,1,1,1,2,1,1,NY,36005,545000,93000,360,575000,1
2022,1,1,1,2,1,1,NY,36071,175000,90000,360,185000,1
2022,1,1,1,2,1,1,NJ,34017,465000,110000,360,485000,1
2022,1,1,1,2,1,1,CA,6069,545000,180000,360,685000,1
2022,1,1,1,2,1,1,CT,9001,695000,278000,360,735000,1
2022,1,1,1,2,1,1,CA,6037,635000,110000,360,675000,1
2022,1,1,1,2,1,1,NJ,34017,485000,190000,360,655000,1
2022,1,1,1,2,1,1,TN,47187,765000,0,360,965000,1
2022,1,1,1,2,1,1,NJ,34017,415000,133000,360,485000,1
2022,1,1,1,2,1,1,PA,42043,225000,47000,360,225000,1
2022,1,1,1,2,1,1,CA,6077,215000,111000,360,225000,1
2022,1,1,1,2,1,1,CA,6037,1675000,390000,360,2105000,1
2022,1,1,1,2,1,1,NJ,34021,195000,81000,360,265000,1
2022,1,1,1,2,1,1,AZ,4019,215000,49000,360,225000,1
2022,1,1,1,2,1,1,CA,6065,665000,0,360,845000,1
2022,1,1,1,2,1,1,NJ,34037,225000,50000,360,285000,1
2022,1,1,1,2,1,1,WA,53061,645000,157000,360,745000,1
2022,1,1,1,2,1,1,TX,48201,125000,54000,360,305000,1
2022,1,1,1,2,1,1,FL,12011,265000,212000,360,275000,1
2022,1,1,1,2,1,1,CA,6085,155000,39000,360,215000,1
2022,1,1,1,2,1,1,CA,6061,1395000,0,360,2305000,1
2022,1,1,1,2,1,1,NJ,34037,335000,83000,360,355000,1
2022,1,1,1,2,1,1,IL,17043,1085000,0,360,1375000,1
2022,1,1,1,2,1,1,IL,17031,305000,126000,360,325000,1
2022,1,1,1,2,1,1,NY,36081,725000,289000,360,765000,1
2022,1,1,1,2,1,2,WA,53033,1095000,350000,360,1375000,1
2022,1,1,1,2,1,1,VA,51107,225000,60000,180,495000,1
2022,1,1,1,2,1,1,TX,48039,335000,77000,360,355000,1
2022,1,1,1,2,1,1,CA,6085,1035000,0,360,1305000,1
2022,1,1,1,2,1,1,IL,17089,265000,59000,360,285000,1
2022,1,1,1,2,1,1,IL,17031,235000,49000,360,265000,1
2022,1,1,1,2,1,1,NY,36119,2575000,1138000,360,3305000,1
2022,1,1,1,2,1,1,ID,16027,955000,0,360,1205000,1
2022,1,1,1,2,1,1,NY,36119,415000,182000,360,435000,1
2022,1,1,1,2,1,1,NY,36059,495000,98000,360,525000,1
