activity_year,loan_type,action_taken,loan_purpose,business_or_commercial_purpose,construction_method,occupancy_type,state_code,county_name,loan_amount,income,loan_term,property_value,total_units
2022,1,1,1,2,1,1,MI,Macomb County  ,415000,119000.0,360.0,435000.0,1
2022,1,1,1,2,1,1,TX,Dallas County  ,405000,97000.0,360.0,425000.0,1
2022,1,1,1,2,1,1,NY,Kings County  ,375000,152000.0,360.0,505000.0,1
2022,1,1,1,2,1,1,TX,Harris County  ,265000,138000.0,360.0,335000.0,1
2022,1,1,1,2,1,1,MO,St. Charles County ,225000,89000.0,360.0,255000.0,1
2022,1,1,1,2,1,1,MO,Jackson County  ,175000,52000.0,360.0,185000.0,1
2022,1,1,1,2,1,2,FL,Pasco County  ,225000,75000.0,360.0,255000.0,1
2022,1,1,1,2,1,1,MO,St. Louis County ,145000,93000.0,360.0,155000.0,1
2022,1,1,1,2,1,1,MO,St. Louis city ,185000,63000.0,360.0,205000.0,1
2022,1,1,1,2,1,1,VA,Loudoun County  ,475000,0.0,360.0,515000.0,1
2022,1,1,1,2,1,1,TX,Dallas County  ,815000,0.0,360.0,1105000.0,1
2022,1,1,1,2,1,1,CA,Orange County  ,645000,93000.0,360.0,755000.0,1
2022,1,1,1,2,1,1,NC,Wake County  ,465000,96000.0,360.0,495000.0,1
2022,1,1,1,2,1,1,TX,Denton County  ,505000,320000.0,360.0,635000.0,1
2022,1,1,1,2,1,1,OH,Montgomery County  ,395000,153000.0,360.0,545000.0,1
2022,1,1,1,2,1,1,NY,Bronx County  ,535000,117000.0,360.0,625000.0,1
2022,1,1,1,2,1,1,DC,District of Columbia ,435000,138000.0,360.0,545000.0,1
2022,1,1,1,2,1,1,VA,Loudoun County  ,635000,166000.0,360.0,705000.0,1
2022,1,1,1,2,1,1,CA,Orange County  ,365000,79000.0,360.0,455000.0,1
2022,1,1,1,2,1,1,MD,Howard County  ,395000,91000.0,360.0,505000.0,1
2022,1,1,1,2,1,1,CA,San Francisco County ,425000,234000.0,360.0,615000.0,1
2022,1,1,1,2,1,1,CA,Alameda County  ,975000,155000.0,360.0,1255000.0,1
2022,1,1,1,2,1,1,NY,Richmond County  ,645000,221000.0,360.0,715000.0,1
2022,1,1,1,2,1,1,CA,Riverside County  ,365000,96000.0,360.0,575000.0,1
2022,1,1,1,2,1,1,FL,Palm Beach County ,385000,166000.0,360.0,735000.0,1
2022,1,1,1,2,1,1,TN,Montgomery County  ,325000,109000.0,360.0,415000.0,1
2022,1,1,1,2,1,1,MN,Chisago County  ,425000,196000.0,360.0,495000.0,1
2022,1,1,1,2,1,1,CA,Los Angeles County ,415000,136000.0,360.0,515000.0,1
2022,1,1,1,2,1,1,GA,Forsyth County  ,625000,156000.0,360.0,725000.0,1
2022,1,1,1,2,1,1,NV,Clark County  ,395000,129000.0,360.0,495000.0,1
2022,1,1,1,2,1,1,NY,Albany County  ,525000,122000.0,360.0,565000.0,1
2022,1,1,1,2,1,1,TN,Rutherford County  ,275000,64000.0,360.0,545000.0,1
2022,1,1,1,2,1,1,WY,Carbon County  ,245000,72000.0,360.0,255000.0,1
2022,1,1,1,2,1,1,SC,Greenville County  ,635000,240000.0,360.0,675000.0,1
2022,1,1,1,2,1,1,TX,Collin County  ,545000,158000.0,360.0,595000.0,1
2022,1,1,1,2,1,1,ND,Bowman County  ,175000,71000.0,360.0,185000.0,1
